registration_number,title_en,start_date,end_date,status,owner_org
C-003262,Proposed Regulations Amending the Storage Tank Systems for Petroleum Products and Allied Petroleum Products Regulations,2024-06-08,2024-08-06,P,ec
CT-2024-0005,Use of digital tools at the border,2024-05-23,2024-07-18,P,cbsa-asfc
C-ISC-1025,Indigenous Health Equity Fund,2024-04-01,2026-03-31,P,isc-sac
C-ISC-1013,Indian Oil and Gas Regulation Amendments: Environment and Surface,2023-12-30,2025-12-31,P,isc-sac
690,TBD: Raising Awareness of Government Programs to Address Labour and Skill Shortages,2023-09-09,2024-01-30,P,tc
686,Updated requirements for Technical Standards Document (TSD) 108,2023-09-05,2024-01-30,P,tc
684,Regulations Amending Certain Regulations Under the Motor Vehicle Safety Act (Information Gathering),2023-09-03,2024-01-30,P,tc
682,"TBD: Allowing Product Identification Numbers for restricted-use vehicles, and Clarifying public roads",2023-09-01,2024-01-30,P,tc
700,Proposed amendments to the Environmental Response Regulations,2023-09-01,2023-10-15,P,tc
694,Preliminary Issue & Consultation Assessment (PICA) - Global Aeronautical Distress and Safety System (GADSS),2023-09-01,2023-12-15,P,tc
699,Air Right Touch Engagement,2023-09-01,2024-03-31,P,tc
C-0207,Consultation on CIPO's 2023-2024 client service standards,2023-03-27,2023-03-31,P,ic
ST-0000046,Census of the Environment Program,2023-02-27,2024-03-31,P,statcan
645,OPP: Northern Low-Impact Shipping Corridors,2022-12-01,2023-06-01,P,tc
C0000061,Changing Narrative Fund,2022-11-16,2022-12-16,P,pch
IRP-005,Indigenous Reconciliation Program,2022-11-15,2023-04-01,P,dnd-mdn
IRP-004,Indigenous Reconciliation Program,2022-11-15,2023-04-01,P,dnd-mdn
IRP-012,Indigenous Reconciliation Program,2022-11-15,2023-04-01,P,dnd-mdn
IRP-006,Indigenous Reconciliation Program,2022-11-15,2023-04-01,P,dnd-mdn
IRP-007,Indigenous Reconciliation Program,2022-11-15,2023-04-01,P,dnd-mdn
IRP-008,Indigenous Reconciliation Program,2022-11-15,2023-04-01,P,dnd-mdn
IRP-009,Indigenous Reconciliation Program,2022-11-15,2023-04-01,P,dnd-mdn
